num_traces,guessing_entropy,success_rate
1123,162.4,0.0
1124,162.14,0.0
1125,162.55,0.0
1126,162.86,0.0
1127,162.69,0.0
1128,163.02,0.0
1129,163.14,0.0
1130,163.58,0.0
1131,164.19,0.0
1132,164.73,0.0
1133,165.07,0.0
1134,165.29,0.0
1135,164.33,0.0
1136,164.45,0.0
1137,163.92,0.0
1138,164.55,0.0
1139,164.73,0.0
1140,165.23,0.0
1141,165.45,0.0
1142,165.4,0.0
1143,165.25,0.0
1144,165.38,0.0
1145,164.99,0.0
1146,164.92,0.0
1147,164.81,0.0
1148,164.4,0.0
1149,164.13,0.0
1150,164.09,0.0
1151,163.68,0.0
1152,164.04,0.0
1153,163.95,0.0
1154,164.36,0.0
1155,164.32,0.0
1156,164.43,0.0
1157,164.43,0.0
1158,164.21,0.0
1159,163.88,0.0
1160,163.77,0.0
1161,164.02,0.0
1162,164.0,0.0
1163,163.55,0.0
1164,163.51,0.0
1165,163.66,0.0
1166,163.73,0.0
1167,163.88,0.0
1168,163.86,0.0
1169,163.77,0.0
1170,164.06,0.0
1171,164.11,0.0
1172,164.52,0.0
1173,164.4,0.0
1174,164.56,0.0
1175,164.48,0.0
1176,164.58,0.0
1177,164.58,0.0
1178,164.19,0.0
1179,164.25,0.0
1180,164.09,0.0
1181,163.55,0.0
1182,163.43,0.0
1183,163.25,0.0
1184,163.33,0.0
1185,163.48,0.0
1186,163.16,0.0
1187,162.87,0.0
1188,163.09,0.0
1189,163.81,0.0
1190,163.82,0.0
1191,164.19,0.0
1192,164.07,0.0
1193,163.36,0.0
1194,163.88,0.0
1195,164.23,0.0
1196,164.07,0.0
1197,163.75,0.0
1198,163.26,0.0
1199,163.37,0.0
1200,163.22,0.0
1201,163.3,0.0
1202,163.45,0.0
1203,163.1,0.0
1204,162.79,0.0
1205,163.11,0.0
1206,163.56,0.0
1207,163.62,0.0
1208,163.55,0.0
1209,163.55,0.0
1210,163.36,0.0
1211,162.99,0.0
1212,162.79,0.0
1213,162.77,0.0
1214,162.9,0.0
1215,163.0,0.0
1216,163.26,0.0
1217,163.4,0.0
1218,163.34,0.0
1219,163.88,0.0
1220,163.76,0.0
1221,163.51,0.0
1222,163.56,0.0
1223,163.55,0.0
1224,163.4,0.0
1225,163.43,0.0
1226,163.79,0.0
1227,163.52,0.0
1228,163.42,0.0
1229,163.13,0.0
1230,162.99,0.0
1231,162.91,0.0
1232,163.03,0.0
1233,163.28,0.0
1234,163.15,0.0
1235,163.21,0.0
1236,163.21,0.0
1237,163.31,0.0
1238,163.23,0.0
1239,162.77,0.0
1240,162.59,0.0
1241,162.55,0.0
1242,162.5,0.0
1243,162.62,0.0
1244,162.95,0.0
1245,163.08,0.0
1246,163.19,0.0
1247,162.69,0.0
1248,162.74,0.0
1249,162.98,0.0
1250,162.78,0.0
1251,162.64,0.0
1252,162.55,0.0
1253,162.76,0.0
1254,162.81,0.0
1255,163.09,0.0
1256,163.32,0.0
1257,162.88,0.0
1258,163.18,0.0
1259,163.33,0.0
1260,163.25,0.0
1261,163.25,0.0
1262,163.76,0.0
1263,163.78,0.0
1264,163.77,0.0
1265,163.79,0.0
1266,163.97,0.0
1267,163.72,0.0
1268,163.57,0.0
1269,163.16,0.0
1270,162.85,0.0
1271,162.3,0.0
1272,162.74,0.0
1273,163.03,0.0
1274,163.02,0.0
1275,162.86,0.0
1276,162.94,0.0
1277,163.27,0.0
1278,163.04,0.0
1279,163.14,0.0
1280,163.21,0.0
1281,162.96,0.0
1282,162.86,0.0
1283,162.97,0.0
1284,162.91,0.0
1285,162.85,0.0
1286,163.12,0.0
1287,162.78,0.0
1288,162.3,0.0
1289,162.45,0.0
1290,162.3,0.0
1291,162.49,0.0
1292,162.91,0.0
1293,163.14,0.0
1294,163.14,0.0
1295,163.44,0.0
1296,163.18,0.0
1297,163.1,0.0
1298,163.04,0.0
1299,163.26,0.0
1300,162.93,0.0
1301,162.76,0.0
1302,162.56,0.0
1303,162.51,0.0
1304,162.8,0.0
1305,163.06,0.0
1306,162.78,0.0
1307,162.4,0.0
1308,162.37,0.0
1309,162.9,0.0
1310,162.75,0.0
1311,163.14,0.0
1312,162.86,0.0
1313,162.74,0.0
1314,162.64,0.0
1315,162.83,0.0
1316,162.94,0.0
1317,162.78,0.0
1318,162.43,0.0
1319,161.94,0.0
1320,161.69,0.0
1321,161.24,0.0
1322,161.2,0.0
1323,161.38,0.0
1324,160.99,0.0
1325,161.34,0.0
1326,161.49,0.0
1327,161.18,0.0
1328,161.14,0.0
1329,160.91,0.0
1330,160.94,0.0
1331,161.2,0.0
1332,161.26,0.0
1333,161.17,0.0
1334,160.96,0.0
1335,160.79,0.0
